ticker,anndats,permno,surprise,surprise_quintile,beat,medest,actual_eps,numest,stdev,car_m1_p1,car_0_p30,car_0_p60,ann_year,sic_code,at,mkvalt,ni,mkcap_quintile,sector,revision_30d,revision_60d,dispersion,num_analysts,prior_surprise,prev_ann,days_since_last
HBAN,2019-01-24,42906,-0.024390243902439046,Miss,0,1.23,1.2,18.0,0.02,-0.01137130295262856,-0.028774123956071707,-0.0790594855065252,2019,6020.0,109002.0,15381.6452,1411.0,Q2,Finance,0.0,0.0,0.016260162601626018,18.0,0.0,2018-01-23,366.0
HBAN,2020-01-23,42906,-0.023076923076923096,Miss,0,1.3,1.27,21.0,0.02,-0.05362047564857786,-0.1574235860190505,-0.3158501924002908,2020,6020.0,123038.0,12847.1981,817.0,Q2,Finance,0.0,0.0,0.015384615384615384,21.0,-0.024390243902439046,2019-01-24,364.0
HBAN,2021-01-22,42906,-0.028169014084507067,Miss,0,0.71,0.69,20.0,0.03,-0.0817630915132539,0.15836638555349247,-0.0018953167301350993,2021,6020.0,174064.0,22169.9816,1295.0,Q4,Finance,0.0,0.0142857142857143,0.04225352112676056,20.0,-0.023076923076923096,2020-01-23,365.0
HBAN,2022-01-21,42906,-0.1089108910891089,Miss,0,1.01,0.9,12.0,0.18,-0.059211921760447206,-0.09780006238742056,-0.1435779807204307,2022,6020.0,182906.0,20347.2588,2238.0,Q4,Finance,0.0,0.0,0.1782178217821782,12.0,-0.028169014084507067,2021-01-22,364.0
HBAN,2023-01-20,42906,0.006944444444444451,Inline,1,1.44,1.45,19.0,0.03,0.024868945511304696,0.043192999577968516,-0.20100794907168273,2023,6020.0,189368.0,18422.6304,1951.0,Q4,Finance,0.0,0.0,0.020833333333333332,19.0,-0.1089108910891089,2022-01-21,364.0
HBI,2010-01-27,91416,-0.7499999999999999,Large Miss,0,1.65,0.4125,3.0,0.05,0.004060969269999992,-0.08344718762831471,-0.03477751809834018,2010,2250.0,3790.002,2443.6578,211.293,Q1,Manufacturing,0.0,-0.017857142857142873,0.030303030303030307,3.0,,,
HBI,2011-01-27,91416,-0.75,Large Miss,0,2.3,0.575,8.0,0.01,0.004060969269999992,-0.08344718762831471,-0.03477751809834018,2011,2250.0,4034.669,2131.7216,266.688,Q1,Manufacturing,0.0,0.0,0.004347826086956522,8.0,-0.7499999999999999,2010-01-27,365.0
HBI,2012-02-15,91416,-0.7598214285714286,Large Miss,0,2.8,0.6725,11.0,0.03,0.004060969269999992,-0.08344718762831471,-0.03477751809834018,2012,2250.0,3631.7,3520.0314,164.681,Q1,Manufacturing,0.0,0.0,0.010714285714285714,11.0,-0.75,2011-01-27,384.0
HBI,2013-02-05,91416,-0.7461240310077519,Large Miss,0,2.58,0.655,10.0,0.1,0.004060969269999992,-0.08344718762831471,-0.03477751809834018,2013,2250.0,4090.048,6988.7029,330.494,Q1,Manufacturing,0.0,0.0,0.03875968992248062,10.0,-0.7598214285714286,2012-02-15,356.0
HBI,2014-01-29,91416,-0.7447780678851175,Large Miss,0,3.83,0.9775,13.0,0.04,0.004060969269999992,-0.08344718762831471,-0.03477751809834018,2014,2250.0,5221.781,11183.9891,404.519,Q2,Manufacturing,0.0,0.0,0.010443864229765013,13.0,-0.7461240310077519,2013-02-05,358.0
